||
Electoral district name|Political affiliation|Votes obtained - Votes obtenus
Avalon|Conservative|12801
Avalon|NDP-New Democratic Party|5162
Avalon|Liberal|18623
Avalon|People's Party - PPC|647
Avalon|Conservative|12738
Avalon|NDP-New Democratic Party|5151
Avalon|Liberal|18608
Avalon|People's Party - PPC|647
Bonavista--Burin--Trinity|NDP-New Democratic Party|2484
Bonavista--Burin--Trinity|People's Party - PPC|1257
Bonavista--Burin--Trinity|Liberal|13972
Bonavista--Burin--Trinity|Conservative|12249
Bonavista--Burin--Trinity|NDP-New Democratic Party|2484
Bonavista--Burin--Trinity|People's Party - PPC|1257
Bonavista--Burin--Trinity|Liberal|13972
Bonavista--Burin--Trinity|Conservative|12278
Coast of Bays--Central--Notre Dame|NDP-New Democratic Party|2186
Coast of Bays--Central--Notre Dame|Liberal|13579
Coast of Bays--Central--Notre Dame|Conservative|14177
Coast of Bays--Central--Notre Dame|NDP-New Democratic Party|2261
Coast of Bays--Central--Notre Dame|Liberal|14646
Coast of Bays--Central--Notre Dame|Conservative|14927
Labrador|People's Party - PPC|293
Labrador|Conservative|2754
Labrador|Liberal|3797
Labrador|NDP-New Democratic Party|2193
Labrador|People's Party - PPC|307
Labrador|Conservative|2930
Labrador|Liberal|4119
Labrador|NDP-New Democratic Party|2297
Long Range Mountains|Conservative|14459
Long Range Mountains|Liberal|16276
Long Range Mountains|NDP-New Democratic Party|4387
Long Range Mountains|People's Party - PPC|1586
Long Range Mountains|Conservative|14344
Long Range Mountains|Liberal|16178
Long Range Mountains|NDP-New Democratic Party|4347
Long Range Mountains|People's Party - PPC|1578
St. John's East|Conservative|7245
St. John's East|People's Party - PPC|723
St. John's East|NDP-New Democratic Party|13015
St. John's East|Liberal|17239
St. John's East|Conservative|7119
St. John's East|People's Party - PPC|723
St. John's East|NDP-New Democratic Party|13090
St. John's East|Liberal|17239
St. John's South--Mount Pearl|NDP-New Democratic Party|8123
St. John's South--Mount Pearl|Conservative|6528
St. John's South--Mount Pearl|Liberal|19576
St. John's South--Mount Pearl|People's Party - PPC|636
St. John's South--Mount Pearl|NDP-New Democratic Party|8113
St. John's South--Mount Pearl|Conservative|6447
St. John's South--Mount Pearl|Liberal|19478
St. John's South--Mount Pearl|People's Party - PPC|638
Cardigan|People's Party - PPC|715
Cardigan|Liberal|11175
Cardigan|Green Party|1064
Cardigan|Christian Heritage Party|145
Cardigan|Conservative|6817
Cardigan|NDP-New Democratic Party|2078
Cardigan|People's Party - PPC|725
Cardigan|Liberal|11175
Cardigan|Green Party|1064
Cardigan|Christian Heritage Party|145
Cardigan|Conservative|6817
Cardigan|NDP-New Democratic Party|2168
Charlottetown|NDP-New Democratic Party|2048
Charlottetown|Liberal|8919
Charlottetown|Conservative|5932
Charlottetown|Green Party|1832
Charlottetown|People's Party - PPC|369
Charlottetown|NDP-New Democratic Party|2048
Charlottetown|Liberal|8919
Charlottetown|Conservative|5932
Charlottetown|Green Party|1832
Charlottetown|People's Party - PPC|369
Egmont|Conservative|6088
Egmont|People's Party - PPC|974
Egmont|NDP-New Democratic Party|1688
Egmont|Green Party|1771
Egmont|Liberal|9050
Egmont|Conservative|6088
Egmont|People's Party - PPC|974
Egmont|NDP-New Democratic Party|1688
Egmont|Green Party|1771
Egmont|Liberal|9040
Malpeque|Green Party|3381
Malpeque|People's Party - PPC|680
Malpeque|Liberal|9812
Malpeque|NDP-New Democratic Party|1898
Malpeque|Conservative|7836
Malpeque|Green Party|3381
Malpeque|People's Party - PPC|680
Malpeque|Liberal|9912
Malpeque|NDP-New Democratic Party|1898
Malpeque|Conservative|7836
Cape Breton--Canso|People's Party - PPC|1589
Cape Breton--Canso|Liberal|17348
Cape Breton--Canso|Conservative|13133
Cape Breton--Canso|NDP-New Democratic Party|5395
Cape Breton--Canso|People's Party - PPC|1649
Cape Breton--Canso|Liberal|18288
Cape Breton--Canso|Conservative|13805
Cape Breton--Canso|NDP-New Democratic Party|5618
Central Nova|Conservative|13044
Central Nova|Liberal|18656
Central Nova|Communist|137
Central Nova|Independent|365
Central Nova|NDP-New Democratic Party|6230
Central Nova|People's Party - PPC|1442
Central Nova|Green Party|488
Central Nova|Parti Rhinocéros Party|66
Central Nova|Conservative|13060
Central Nova|Liberal|18682
Central Nova|Communist|138
Central Nova|Independent|365
Central Nova|NDP-New Democratic Party|6225
Central Nova|People's Party - PPC|1445
Central Nova|Green Party|494
Central Nova|Parti Rhinocéros Party|65
Cumberland--Colchester|People's Party - PPC|1671
Cumberland--Colchester|Conservative|18646
Cumberland--Colchester|Green Party|1050
Cumberland--Colchester|Independent|273
Cumberland--Colchester|NDP-New Democratic Party|4931
Cumberland--Colchester|Liberal|13839
Cumberland--Colchester|People's Party - PPC|1687
Cumberland--Colchester|Conservative|18601
Cumberland--Colchester|Green Party|1045
Cumberland--Colchester|Independent|278
Cumberland--Colchester|NDP-New Democratic Party|4984
Cumberland--Colchester|Liberal|13822
Dartmouth--Cole Harbour|Liberal|24495
Dartmouth--Cole Harbour|People's Party - PPC|4865
Dartmouth--Cole Harbour|NDP-New Democratic Party|15474
Dartmouth--Cole Harbour|Green Party|1562
Dartmouth--Cole Harbour|Liberal|24209
Dartmouth--Cole Harbour|People's Party - PPC|4781
Dartmouth--Cole Harbour|NDP-New Democratic Party|15267
Dartmouth--Cole Harbour|Green Party|1371
Halifax|Communist|200
Halifax|Conservative|6802
Halifax|Liberal|22274
